Link,Volume Text
 Willard McCarty Thu, 9 Mar 89 20:33:14 EST

 Markup: textual variants (53)

 Willard McCarty Tue, 14 Mar 89 20:03:05 EST

 Medieval and Early Modern Data Bank (89)

 Willard McCarty Fri, 17 Feb 89 22:01:26 EST

 Medieval and Early Modern Data Bank for Macs? (25)

 Willard McCarty Sun, 29 Jan 89 18:28:32 EST

 Medieval and Early Modern Databank? (16)

 Willard McCarty Thu, 16 Feb 89 18:45:10 EST

 micro-OCP (39)

 Willard McCarty Mon, 20 Mar 89 21:09:30 EST

 Micro-OCP (55)

 Willard McCarty Mon, 6 Feb 89 19:55:24 EST

 Micro-OCP workshops; symposium in Portugal (122)

 Willard McCarty Thu, 2 Feb 89 20:10:15 EST

 Micro-OCP, cont. (22)

 Willard McCarty Tue, 7 Feb 89 19:36:25 EST

 micro-OCP, cont. (26)

 Willard McCarty Tue, 14 Feb 89 20:28:01 EST

 Micro-OCP, cont. (39)

 Willard McCarty Sat, 25 Feb 89 18:25:26 EST

 micro-OCP, cont. (57)

 Willard McCarty Wed, 15 Feb 89 21:00:01 EST

 migration of the scholastic temperament (47)

 Willard McCarty Mon, 13 Mar 89 19:32:05 EST

 missing person; cheer for the Rahtz (35)

 Willard McCarty Mon, 27 Feb 89 19:48:34 EST

 Missouri Review Online? Current Contents? (44)

 Willard McCarty Wed, 1 Mar 89 19:56:52 EST

 more biographies (947)

 Willard McCarty Thu, 13 Apr 89 23:19:48 EDT

 more Latin texts (40)

 Willard McCarty Sun, 12 Mar 89 23:52:42 EST

 more on coding ""strange"" languages, with apologies (36)

 Willard McCarty Wed, 12 Apr 89 20:55:28 EDT

 More on ISAAC (104)

 Willard McCarty Sun, 5 Feb 89 17:16:58 EST

 more on Micro-OCP and hyphens (61)

 Willard McCarty Sat, 25 Feb 89 23:20:55 EST

 more on the NeXT (48)

 Willard McCarty Sun, 16 Apr 89 21:18:38 EDT

 more topical collections (30)

 Willard McCarty Sat, 15 Apr 89 20:53:41 EDT

 more topical collections, and a comment (64)

 Willard McCarty Thu, 2 Mar 89 20:05:28 EST

 more topical collections; women's congress (56)

 Willard McCarty Thu, 16 Mar 89 18:36:26 EST

 music list? texts on UNIX? (51)

 Willard McCarty Tue, 21 Feb 89 19:40:26 EST

 Music Research Digest (39)

 Willard McCarty Sat, 22 Apr 89 22:25:42 EDT

 new discussion group (36)

 Willard McCarty Mon, 20 Mar 89 20:59:52 EST

 new discussion group; graduate programme (87)

 Willard McCarty Sat, 29 Apr 89 00:56:41 EDT

 new electronic publications (210)

 Willard McCarty Wed, 8 Feb 89 23:33:01 EST

 new music list; new book (88)

 Willard McCarty Wed, 5 Apr 89 20:07:34 EDT

 new program for TLG and PHI/CCAT CD-ROMs (53)

 Willard McCarty Sun, 5 Feb 89 17:24:14 EST

 NeXT, cont. (138)

 Willard McCarty Mon, 17 Apr 89 18:47:57 EDT

 now we are 401 strong (458)

 Willard McCarty Tue, 14 Mar 89 19:55:09 EST

 obfuscation (39)

 Willard McCarty Tue, 3 Jan 89 19:11:11 EST

 obit (45)

 Willard McCarty Thu, 30 Mar 89 21:22:05 EST

 OCP; humanities computing (33)

 Willard McCarty Fri, 24 Feb 89 22:10:17 EST

 of ducks and poets (36)

 Willard McCarty Mon, 6 Mar 89 19:55:48 EST

 of mice and e-mail (61)

 Willard McCarty Thu, 16 Feb 89 18:49:22 EST

 Offline 22 (450)

 Willard McCarty Fri, 10 Feb 89 22:45:28 EST

 Offline 23 (291)

 Willard McCarty Wed, 29 Mar 89 20:10:08 EST

 on ListServ and lists, part 1 (82)

 Willard McCarty Wed, 29 Mar 89 20:07:56 EST

 online databases (25)

 Willard McCarty Thu, 13 Apr 89 19:05:47 EDT

 online Latin, cont. (35)

 Willard McCarty Thu, 9 Mar 89 20:30:11 EST

 Online Notes, 12/88 (129)

 Willard McCarty Mon, 20 Feb 89 18:48:24 EST

 Online Notes, January 1989 (90)

 Willard McCarty Thu, 9 Mar 89 20:27:31 EST

 open software (88)

 Willard McCarty Tue, 7 Feb 89 19:32:07 EST

 open software, cont. (125)

 Willard McCarty Tue, 14 Feb 89 20:14:59 EST

 open software, cont. (146)

 Willard McCarty Wed, 15 Feb 89 20:56:41 EST

 open software, cont. (18)

 Willard McCarty Mon, 13 Feb 89 19:58:42 EST

 open software, cont. (195)

 Willard McCarty Wed, 8 Feb 89 23:26:39 EST

 open software, cont. (40)

 Willard McCarty Thu, 16 Feb 89 18:42:58 EST

 open software, cont. (61)

 Willard McCarty Fri, 10 Feb 89 22:46:57 EST

 open software, cont. (66)

 Willard McCarty Thu, 9 Feb 89 22:02:35 EST

 open software, cont. (73)

 Willard McCarty Fri, 17 Feb 89 22:04:06 EST

 open software, cont. (88)

 Willard McCarty Sat, 11 Feb 89 16:30:18 EST

 operating system standards, cont. (38)

 Willard McCarty Fri, 14 Apr 89 22:45:44 EDT

 optical scanners (184)

 Willard McCarty Mon, 3 Apr 89 20:48:33 EDT

 optical scanners (27)

 Willard McCarty Sat, 11 Mar 89 01:05:22 EST

 optical scanners, cont. (80)

 Willard McCarty Wed, 5 Apr 89 20:23:44 EDT

 optical scanners, cont. (94)

 Willard McCarty Thu, 6 Apr 89 19:30:25 EDT

 optical scanning, cont. (133)

 Willard McCarty Fri, 7 Apr 89 20:27:28 EDT

 optical scanning, cont. (150)

 Willard McCarty Mon, 24 Apr 89 21:21:07 EDT

 optical scanning, cont. (78)

 Willard McCarty Tue, 25 Apr 89 22:44:56 EDT

 optical scanning: Makrolog's Optopus (41)

 Willard McCarty Sat, 22 Apr 89 22:37:41 EDT

 other discussion groups (95)

 Willard McCarty Thu, 20 Apr 89 19:54:43 EDT

 ownership, etc. (38)

 Willard McCarty Mon, 13 Mar 89 19:38:43 EST

 Oxford Electronic Shakespeare defended (80)

 Willard McCarty Tue, 7 Mar 89 19:20:16 EST

 Oxford Electronic Shakespeare, cont. (14)

 Willard McCarty Thu, 9 Mar 89 20:31:46 EST

 Oxford Electronic Shakespeare, cont. (150)

 Willard McCarty Wed, 8 Mar 89 19:47:52 EST

 Oxford Electronic Shakespeare, etc., cont. (148)

 Willard McCarty Sat, 11 Mar 89 01:03:26 EST

 Oxford Electronic Shakespeare, etc., cont. (84)

 Willard McCarty Sun, 12 Mar 89 23:47:34 EST

 pardon, more electronic Shakespeare (42)

 Willard McCarty Tue, 14 Mar 89 20:08:00 EST

 parsed Hebrew Bible; languages (51)

 Willard McCarty Mon, 10 Apr 89 19:23:10 EDT

 personal information managers (108)

 Willard McCarty Sun, 23 Apr 89 20:27:42 EDT

 personal information managers, cont. (38)

 Willard McCarty Tue, 25 Apr 89 22:37:12 EDT

 phonetic transcription of French (39)

 Willard McCarty Tue, 10 Jan 89 20:29:20 EST

 phonetic transcription of French (40)

 Willard McCarty Wed, 4 Jan 89 20:29:25 EST

 phonetic transcription of French (46)

 Willard McCarty Fri, 6 Jan 89 19:05:46 EST

 pricing of e-texts (26)

 Willard McCarty Thu, 16 Mar 89 00:06:28 EST

 printers; ""nonstandard"" Mac OS (43)

 Willard McCarty Wed, 12 Apr 89 20:59:14 EDT

 program for NB-users (55)

 Willard McCarty Tue, 28 Mar 89 20:44:17 EST

 Proud's Text Archive Report (224)

 Willard McCarty Thu, 16 Mar 89 00:08:30 EST

 publication of interest (37)

 Willard McCarty Thu, 26 Jan 89 19:03:26 EST

 Pundits take note: more on Sanskrit coding (277)

 Willard McCarty Tue, 18 Apr 89 20:16:32 EDT

 Quattro & MSWord? Pseudo-Clementines? (43)

 Willard McCarty Fri, 17 Feb 89 22:00:03 EST

 Queries (103)

 Willard McCarty Wed, 8 Mar 89 19:44:01 EST

 queries (110)

 Willard McCarty Tue, 25 Apr 89 22:41:11 EDT

 queries (226)

 Willard McCarty Thu, 30 Mar 89 20:47:50 EST

 Queries (44)

 Willard McCarty Thu, 12 Jan 89 19:52:07 EST

 Queries (64)

 Willard McCarty Mon, 6 Mar 89 19:51:21 EST

 Queries (67)

 Willard McCarty Tue, 17 Jan 89 23:43:29 EST

 queries (86)

 Willard McCarty Mon, 20 Mar 89 20:57:05 EST

 Queries (89)

 Willard McCarty Fri, 20 Jan 89 23:14:10 EST

 Queries (93)

 Willard McCarty Wed, 15 Feb 89 20:58:44 EST

 Queries (99)

 Willard McCarty Fri, 3 Mar 89 22:17:37 EST

 Queries, short and long (164)

 Willard McCarty Fri, 10 Feb 89 22:41:09 EST

 queries; e-style (51)

 Willard McCarty Sun, 23 Apr 89 20:33:43 EDT

 ranging the chingers (32)

 Willard McCarty Tue, 21 Feb 89 19:43:56 EST

 reading list for ""Dominion"" (28)

 Willard McCarty Mon, 6 Mar 89 19:53:21 EST

 reading list, Dominion, cont. (25)

 Willard McCarty Wed, 8 Mar 89 19:40:58 EST

 reading list? archives? e-folklore? (159)

 Willard McCarty Thu, 2 Mar 89 20:11:18 EST

 reading lists? (30)

 Willard McCarty Tue, 28 Feb 89 19:37:40 EST

 recognition for computing skills, cont. (34)

 Willard McCarty Sun, 16 Apr 89 21:21:44 EDT

 Red Ryder; Word for Word (63)

 Willard McCarty Sat, 18 Mar 89 17:34:19 EST

 Report on the Oxford Text Archive (37)

 Willard McCarty Fri, 10 Feb 89 22:39:15 EST

 Report on the TLG (73)

 Willard McCarty Tue, 31 Jan 89 20:40:39 EST

 requiescat in pace (?), spqr (100)

 Willard McCarty Wed, 12 Apr 89 21:09:05 EDT

 responses: AskSam; folklore (96)

 Willard McCarty Thu, 16 Feb 89 18:40:40 EST

 revised Guide to Humanist (394)

 Willard McCarty Sat, 4 Mar 89 00:27:00 EST

 rhetoric conference (27)

 Willard McCarty Sat, 25 Mar 89 00:39:31 EST

 ringing the changes, cont. (62)

 Willard McCarty Thu, 23 Feb 89 00:19:54 EST

 Roman baths (52)

 Willard McCarty Thu, 5 Jan 89 19:13:52 EST

 Sanskrit coding (201)

 Willard McCarty Tue, 11 Apr 89 20:17:08 EDT

 Sanskrit coding, cont. (112)

 Willard McCarty Mon, 24 Apr 89 21:22:53 EDT

 Sanskrit coding, cont. (153)

 Willard McCarty Fri, 14 Apr 89 22:44:24 EDT

 Sanskrit coding, cont. (64)

 Willard McCarty Tue, 25 Apr 89 22:50:23 EDT

 scanners and gray-scale (34)

 Willard McCarty Thu, 12 Jan 89 19:53:21 EST

 Scanners and gray-scale? (38)

 Willard McCarty Tue, 10 Jan 89 20:25:56 EST

 scanners' tricks, please (36)

 Willard McCarty Thu, 20 Apr 89 00:05:56 EDT

 scanners, cont. (25)

 Willard McCarty Tue, 14 Feb 89 20:26:43 EST

 scanners, cont. (34)

 Willard McCarty Fri, 13 Jan 89 22:30:19 EST

 scanners, cont. (68)

 Willard McCarty Wed, 15 Feb 89 21:03:11 EST

 Scanning software for Macs (30)

 Willard McCarty Mon, 13 Feb 89 19:55:58 EST

 scanning, e-texts, the NeXT, and more (108_

 Willard McCarty Tue, 18 Apr 89 20:21:55 EDT

 schedule for the software fair (515)

 Willard McCarty Mon, 1 May 89 22:20:23 EDT


 Willard McCarty Mon, 1 May 89 22:20:23 EDT

 scrambled messages

 Willard McCarty Tue, 14 Feb 89 20:19:19 EST

 screen-image-to-projector-screen devices (124)

 Willard McCarty Tue, 7 Mar 89 19:17:29 EST

 secret society of Humanists (47)

 Willard McCarty Wed, 1 Mar 89 19:55:16 EST

 secrets, handshakes, ducks, and poetry (96)

 Willard McCarty Thu, 2 Mar 89 20:08:39 EST

 secular studies of Islam? colleague in Taiwan? (46)

 Willard McCarty Sun, 26 Feb 89 23:59:39 EST

 self-defense (21)

 Willard McCarty Fri, 20 Jan 89 23:15:22 EST

 settle out of court, please (59)

 Willard McCarty Sun, 22 Jan 89 17:40:25 EST

 Shakespeare and electronic publishing, cont. (148)

 Willard McCarty Mon, 20 Mar 89 20:55:16 EST

 social science with lab credit? (27)

 Willard McCarty Thu, 20 Apr 89 19:57:58 EDT

 software for the deaf (57)

 Willard McCarty Thu, 27 Apr 89 20:42:20 EDT

 software for the Yearbook 1989

 Willard McCarty Mon, 27 Feb 89 21:30:48 EST

 software ownership (56)

 Willard McCarty Sun, 12 Mar 89 23:45:50 EST

 Southamptonians overlooked (21)

 Willard McCarty Wed, 1 Feb 89 19:09:14 EST

 Soviet rhetoricians? medieval data? (59)

 Willard McCarty Sat, 25 Mar 89 00:29:06 EST

 spqr, cont. (54)

 Willard McCarty Tue, 4 Apr 89 18:06:21 EDT

 spqr, cont. (58)

 Willard McCarty Wed, 5 Apr 89 20:02:57 EDT

 spqr, cont. (59)

 Willard McCarty Sun, 2 Apr 89 14:00:26 EDT

 St. Jerome

 Willard McCarty Mon, 17 Apr 89 18:51:58 EDT

 St. Jerome; mapmaking (60)

 Willard McCarty Tue, 11 Apr 89 20:21:37 EDT

 staining the water clear (23)

 Willard McCarty Thu, 19 Jan 89 21:37:46 EST

 Stallman on open software (27)

 Willard McCarty Thu, 16 Feb 89 18:37:51 EST

 students' history, cont. (24)

 Willard McCarty Mon, 27 Feb 89 19:38:50 EST

 style checkers; topical collection; xword (55)

 Willard McCarty Sun, 12 Mar 89 23:51:14 EST

 supplement to list of archives (62)

 Willard McCarty Sat, 25 Mar 89 00:34:55 EST

 technology for the deaf, cont. (22)

 Willard McCarty Sat, 29 Apr 89 00:58:00 EDT

 technology for the deaf, cont. (23)

 Willard McCarty Mon, 1 May 89 20:31:45 EDT


 Willard McCarty Mon, 1 May 89 20:31:45 EDT

 tell us it isn't so, etc. (57)

 Willard McCarty Fri, 7 Apr 89 20:30:55 EDT

 template for biographies (142)

 Willard McCarty Sat, 11 Feb 89 16:35:32 EST

 terminal emulators (23)

 Willard McCarty Tue, 4 Apr 89 18:12:45 EDT

 test from the postmaster

 Steve Younker Tue, 21 Mar 89 16:37:52 EST

 test, please ignore

 Willard McCarty Mon, 27 Feb 89 14:21:01 EST

 Texpert: optical scanning software (32)

 Willard McCarty Tue, 21 Mar 89 18:01:58 EST

 text encoding, cont. (119)

 Willard McCarty Thu, 20 Apr 89 19:56:29 EDT

 text libraries? censorship?

 Willard McCarty Sun, 12 Mar 89 23:43:43 EST

 Text retrieval: filters? (43)

 Willard McCarty Tue, 21 Mar 89 18:04:34 EST

 text-retrieval in UNIX? (29)

 Willard McCarty Fri, 24 Feb 89 22:14:48 EST

 the contest (41)

 Willard McCarty Fri, 27 Jan 89 21:43:35 EST

 the cost of Shakespeare, cont.  (18)

 Willard McCarty Fri, 17 Mar 89 23:00:29 EST

 The Humanities Computing Yearbook

 Willard McCarty Tue, 24 Jan 89 23:33:05 EST

 the liberating computer? (169)

 Willard McCarty Wed, 25 Jan 89 17:34:34 EST

 Tibetan scriptures? (39)

 Willard McCarty Thu, 23 Feb 89 20:55:18 EST

 Tools for Humanists (35)

 Willard McCarty Wed, 15 Feb 89 21:23:58 EST

 Tools for Humanists, 1989 (209)

 Willard McCarty Mon, 10 Apr 89 19:20:58 EDT

 topical collections; Missouri Review (59)

 Willard McCarty Fri, 3 Mar 89 22:13:18 EST

 TOVNA machine-translation software (144)

 Willard McCarty Thu, 12 Jan 89 19:54:59 EST

 Translation Studies Newsletter (28)

 Willard McCarty Mon, 27 Feb 89 00:01:04 EST

 two discussion groups (93)

 Willard McCarty Thu, 20 Apr 89 00:04:25 EDT

 Umbrian meditations (259)

 Willard McCarty Thu, 23 Feb 89 20:53:30 EST

 Umbrian, cont. (27)

 Willard McCarty Sun, 26 Feb 89 23:57:43 EST

 Unix, Gramcord, xword, uu--- (175)

 Willard McCarty Sat, 11 Mar 89 00:55:31 EST

 UNIX? Micro-OCP? Kermit? (106)

 Willard McCarty Fri, 3 Feb 89 23:03:50 EST

 Unix? Norwegians? biblical French? (61)

 Willard McCarty Thu, 9 Mar 89 20:25:00 EST

 Uropi? Non-roman TeX fonts? (48)

 Willard McCarty Fri, 13 Jan 89 22:39:09 EST

 US information policies, etc. (117)

 Willard McCarty Tue, 21 Mar 89 18:00:17 EST

 use of the membership list (34)

 Willard McCarty Sat, 25 Mar 89 00:38:15 EST

 various (156)

 Willard McCarty Mon, 24 Apr 89 21:19:51 EDT

 Various queries (122)

 Willard McCarty Thu, 19 Jan 89 21:23:31 EST

 various queries (188)

 Willard McCarty Fri, 7 Apr 89 20:24:49 EDT

 various replies (96)

 Willard McCarty Thu, 6 Apr 89 19:26:23 EDT

 various responses (160)

 Willard McCarty Tue, 14 Mar 89 20:01:49 EST

 volume control, etc., on Humanist (85)

 Willard McCarty Sun, 2 Apr 89 13:51:44 EDT

 volume of mail, cont. (17)

 Willard McCarty Tue, 4 Apr 89 18:15:40 EDT

 what's NeXT, and where is it going? (76)

 Willard McCarty Fri, 14 Apr 89 22:50:49 EDT

 where do we sit in the bus? (124)

 Willard McCarty Fri, 14 Apr 89 22:49:16 EDT

 where we are (47)

 Willard McCarty Thu, 9 Feb 89 21:49:49 EST

 which revolution? (25)

 Willard McCarty Sat, 29 Apr 89 00:59:38 EDT

 women in medicine, cont. (40)

 Willard McCarty Sat, 22 Apr 89 22:27:31 EDT

 women in medicine? (21)

 Willard McCarty Fri, 21 Apr 89 22:50:52 EDT

 women, cont. (76)

 Willard McCarty Tue, 25 Apr 89 22:47:36 EDT

 WordPerfect 5.0 fonts (52)

 Willard McCarty Fri, 20 Jan 89 23:18:17 EST

 wrong address (23)

 Willard McCarty Thu, 19 Jan 89 21:19:09 EST

 WYSIWYG clarification

 Willard McCarty Mon, 1 May 89 12:05 EST

 XT? scanning strage alphabets? (56)

 Willard McCarty Mon, 17 Apr 89 18:50:50 EDT

 xword and the like (72)

 Willard McCarty Mon, 13 Mar 89 19:44:54 EST

 Xword? electronic Locke? (41)

 Willard McCarty Sat, 11 Mar 89 01:00:59 EST



Last message date: Tue 03 Jun 1997 - 01:08:60 EDT
Archived on: Thu May 22 1997 - 15:45:31 EDT

 Messages sorted by: [ date ][ thread ][ author ]
 Other mail archives



This archive was generated by hypermail 1.02.
"
Volume 35/89-5/90,"Humanist Archives Vol. 3  by subject
Humanist Archives Vol. 3  by subject

 Messages sorted by: [ date ][ thread ][ author ]
 Other mail archives


Starting: Wed 10 May 1989 - 00:11:12 EDT
Ending: Mon 12 Jan 1998 - 09:06:60 EDT
Messages: 1353


 (no subject)

  (no date)

 2.1224 Sci-fi and cyber-worries (78)

 Willard McCarty Tue, 27 Mar 90 20:32:12 EST

 2.306 converting to/from NB? Hungarian Mac? (44)

 Willard McCarty Tue, 4 Jul 89 18:53:18 EDT

 3.10 Shakespeareans: Rose Theatre excavation (68)

 Willard McCarty Mon, 8 May 89 20:10:15 EDT

 3.100 parvitude; laptops; Koran (74)

 Willard McCarty Tue, 6 Jun 89 21:12:52 EDT

 3.1000 professional societies, cont. (137)

 Willard McCarty Fri, 2 Feb 90 20:42:29 EST

 3.1001 best wishes (58)

 Willard McCarty Fri, 2 Feb 90 21:05:50 EST

 3.1002 SGML; hanzi; pingpong; bibliographic managers  (105)

 Willard McCarty Mon, 5 Feb 90 20:43:39 EST

 3.1003 address? e-Schulze? (43)

 Willard McCarty Mon, 5 Feb 90 20:45:38 EST

 3.1004 ideal workstation! (144)

 Willard McCarty Mon, 5 Feb 90 20:48:43 EST

 3.1005 humans and computers, cont. (68)

 Willard McCarty Mon, 5 Feb 90 20:52:55 EST

 3.1006 Mac/IBM and quality in writing (80)

 Willard McCarty Mon, 5 Feb 90 20:55:39 EST

 3.1007 MacAdemia 1990 (58)

 Willard McCarty Mon, 5 Feb 90 20:57:13 EST

 3.1008 why telnet to other libraries? (136)

 Willard McCarty Mon, 5 Feb 90 20:59:40 EST

 3.1009 Telnetting other libraries, cont. (401)

 Willard McCarty Tue, 6 Feb 90 19:42:32 EST

 3.101 various queries (58)

 Willard McCarty Tue, 6 Jun 89 21:14:49 EDT

 3.1010 Searcher 2.0; UK job advert (153)

 Willard McCarty Tue, 6 Feb 90 19:44:05 EST

 3.1011 the quality of writing is (not) machined (74)

 Willard McCarty Tue, 6 Feb 90 19:47:53 EST

 3.1012 Chinese/Japanese stacks (44)

 Willard McCarty Tue, 6 Feb 90 20:14:11 EST

 3.1013 e-mail addresses (31)

 Willard McCarty Tue, 6 Feb 90 20:15:17 EST

 3.1014 professional societies, 3rd update (201)

 Willard McCarty Tue, 6 Feb 90 20:16:19 EST

 3.1015 Telnetting: responses and queries (175)

 Willard McCarty Wed, 7 Feb 90 20:50:05 EST

 3.1016 various queries (114)

 Willard McCarty Wed, 7 Feb 90 20:51:29 EST

 3.1017 new e-groups; job advert; network info (139)

 Willard McCarty Wed, 7 Feb 90 20:53:38 EST

 3.1018 professional societies, update 4 (206)

 Willard McCarty Wed, 7 Feb 90 20:59:05 EST

 3.1019 ideal workstation, cont. (105)

 Willard McCarty Wed, 7 Feb 90 21:00:21 EST

 3.102 petition; job (78)

 Willard McCarty Tue, 6 Jun 89 21:16:22 EDT

 3.1020 ideal workstations (85)

 Willard McCarty Thu, 8 Feb 90 21:28:49 EST

 3.1021 Library software for Mac? Mac in Europe? (61)

 Willard McCarty Thu, 8 Feb 90 21:30:29 EST

 3.1022 Mac/IBM and writing, cont. (41)

 Willard McCarty Thu, 8 Feb 90 21:33:23 EST

 3.1023 Telnetting, cont. (238)

 Willard McCarty Thu, 8 Feb 90 21:37:53 EST

 3.1024 18th-Cent.; RUSTEX-L; Internet; SCE/MMLA call (186)

 Willard McCarty Thu, 8 Feb 90 21:41:40 EST

 3.1025 Logitech (28)

 Willard McCarty Thu, 8 Feb 90 21:44:27 EST

 3.1026 Notes and Queries (136)

 Willard McCarty Thu, 8 Feb 90 21:50:29 EST

 3.1027 ideal workstations (189)

 Willard McCarty Fri, 9 Feb 90 22:16:06 EST

 3.1028 the quality of writing and thinking (170)

 Willard McCarty Fri, 9 Feb 90 22:18:16 EST

 3.1029 Mac questions & answers (119)

 Willard McCarty Fri, 9 Feb 90 22:19:55 EST

 3.103 Urdu scribes (49)

 Willard McCarty Tue, 6 Jun 89 21:18:21 EDT

 3.1030 e-Tennyson, Browning? audio input? (55)

 Willard McCarty Fri, 9 Feb 90 22:21:27 EST

 3.1031 Telnetting continues (57)

 Willard McCarty Fri, 9 Feb 90 22:22:53 EST

 3.1032 professional societies, update 5 (236)

 Willard McCarty Fri, 9 Feb 90 22:24:45 EST

 3.1033 apologiae pro digitibus errabundibus (48)

 Willard McCarty Mon, 12 Feb 90 21:10:09 EST

 3.1034 audio input; Mac troubles (95)

 Willard McCarty Mon, 12 Feb 90 21:34:42 EST

 3.1035 various queries (120)

 Willard McCarty Mon, 12 Feb 90 21:36:36 EST

 3.1036 call for information: CAI for history (90)

 Willard McCarty Mon, 12 Feb 90 21:42:36 EST

 3.1037 e-Tennyson, e-Browning (74)

 Willard McCarty Mon, 12 Feb 90 21:45:50 EST

 3.1038 ideal workstations (99)

 Willard McCarty Mon, 12 Feb 90 21:57:32 EST

 3.1039 the quality of writing, cont. (35)

 Willard McCarty Mon, 12 Feb 90 22:00:22 EST

 3.104 laptops (45)

 Willard McCarty Wed, 7 Jun 89 21:43:35 EDT

 3.1040 Notes and Queries: invented beasts (74)

 Willard McCarty Mon, 12 Feb 90 22:01:56 EST

 3.1041 decline of noisy reading? SGML and hypertext? (85)

 Willard McCarty Tue, 13 Feb 90 20:35:30 EST

 3.1042 Call: invented beasts; language development (86)
